Position,Region,Name, VolInBill ,NumProps,Prop Type
Seller,NorthAmerica,BRE PROPERTIES, 4.53 ,83,All
Seller,NorthAmerica,FORTRESS, 4.28 ,191,All
Seller,NorthAmerica,INLAND REAL ESTATE G..., 4.16 ,585,All
Seller,NorthAmerica,JP MORGAN, 3.45 ,115,All
Seller,NorthAmerica,HINES, 3.38 ,13,All
Seller,NorthAmerica,GOLDMAN SACHS, 3.16 ,27,All
Seller,NorthAmerica,BEACON CAPITAL PARTN..., 3.05 ,12,All
Seller,NorthAmerica,INVESCO RE, 3.00 ,89,All
Seller,NorthAmerica,CARLYLE GROUP, 2.82 ,24,All
Seller,NorthAmerica,COLONIAL PROPERTIES ..., 2.69 ,128,All
Seller,NorthAmerica,AR CAPITAL TRUST, 2.68 ,515,All
Seller,NorthAmerica,BROOKFIELD ASSET MGMT, 2.54 ,27,All
Seller,NorthAmerica,CBRE, 2.19 ,37,All
Seller,NorthAmerica,CAPLEASE, 2.16 ,59,All
Buyer,SouthAmerica,WTORRE SA, 1.32 ,29,All
Buyer,SouthAmerica,GOODMAN GROUP, 1.32 ,29,All
Buyer,SouthAmerica,ALMEIDA JUNIOR, 0.46 ,5,All
Buyer,SouthAmerica,SAO CARLOS EMPREENDI..., 0.28 ,1,All
Buyer,SouthAmerica,FII BTG PACTUAL CORP..., 0.26 ,2,All
Buyer,SouthAmerica,LARRAINVIAL, 0.23 ,4,All
Buyer,SouthAmerica,GLL REAL ESTATE PART..., 0.09 ,1,All
Buyer,SouthAmerica,GRUPO SUTTON, 0.05 ,1,All
Buyer,SouthAmerica,BRAZIL HOSPITALITY G..., 0.05 ,1,All
Buyer,SouthAmerica,FALABELLA, 0.04 ,1,All
Buyer,SouthAmerica,IGUATEMI EMPRESA DE ..., 0.02 ,1,All
Buyer,SouthAmerica,HOSPITALITY PROPERTI..., 0.02 ,3,All
Buyer,SouthAmerica,GAZIT-GLOBE, 0.02 ,1,All
Buyer,SouthAmerica,ALIANSCE SHOPPING CE..., 0.02 ,1,All
Buyer,SouthAmerica,CREDIT SUISSE, 0.01 ,1,All
Buyer,SouthAmerica,JUNEFIELD DEPARTMENT..., 0.01 ,1,All
Seller,SouthAmerica,BR PROPERTIES, 1.50 ,30,All
Seller,SouthAmerica,WESTFIELD, 0.46 ,5,All
Seller,SouthAmerica,EZTEC, 0.28 ,1,All
Seller,SouthAmerica,MERIDIA CAPITAL, 0.23 ,4,All
Seller,SouthAmerica,STANDARD LIFE, 0.09 ,2,All
Seller,SouthAmerica,VIVIENDAS 2000, 0.09 ,1,All
Seller,SouthAmerica,TERRITORIA, 0.09 ,1,All
Seller,SouthAmerica,IM TRUST, 0.09 ,1,All
Seller,SouthAmerica,CCP, 0.09 ,1,All
Seller,SouthAmerica,PROLOGIS, 0.09 ,1,All
Seller,SouthAmerica,KIMCO, 0.05 ,9,All
Seller,SouthAmerica,SAO CARLOS EMPREENDI..., 0.03 ,2,All
Seller,SouthAmerica,NH HOTELES, 0.02 ,3,All
Seller,SouthAmerica,CARLYLE GROUP, 0.02 ,1,All
Seller,SouthAmerica,ALMAGRO, 0.01 ,1,All
Buyer,Global,Equity Residential,$9.06 ,81,Apartment
Buyer,Global,AvalonBay Communities,$5.95 ,70,Apartment
Buyer,Global,Essex Property Trust,$4.73 ,80,Apartment
Buyer,Global,Patrizia Immobilien AG,$3.27 ,3,Apartment
Buyer,Global,Greystar RE Partners,$3.12 ,75,Apartment
Buyer,Global,Goldman Sachs,$2.84 ,103,Apartment
Buyer,Global,Blackstone,$2.50 ,530,Apartment
Buyer,Global,MAA REIT,$2.27 ,120,Apartment
Buyer,Global,Immofinanz,$1.70 ,23,Apartment
Buyer,Global,Caisse de Depot,$1.57 ,29,Apartment
Buyer,Global,TwentyTwo Real Estate,$1.30 ,2,Apartment
Buyer,Global,Farallon Capital Par...,$1.30 ,2,Apartment
Buyer,Global,Massena Partners,$1.30 ,2,Apartment
Buyer,Global,Invesco RE,$1.21 ,13,Apartment
Buyer,Global,Milestone APTS REIT,$1.19 ,54,Apartment
Buyer,Global,Deutsche Wohnen AG,$1.18 ,11,Apartment
Buyer,Global,Crescent Heights,$1.06 ,12,Apartment
Buyer,Global,SAFE,$0.91 ,11,Apartment
Buyer,Global,Fairfield Residential,$0.89 ,35,Apartment
Buyer,Global,Fortress,$0.86 ,15,Apartment
Seller,Global,Lehman Bros Holdings,$30.35 ,318,Apartment
Seller,Global,Equity Residential,$4.56 ,88,Apartment
Seller,Global,BRE Properties,$4.53 ,83,Apartment
Seller,Global,GBW Gruppe,$3.30 ,4,Apartment
Seller,Global,BayernLB,$3.23 ,2,Apartment
Seller,Global,Deutsche Asset/Wealt...,$2.87 ,10,Apartment
Seller,Global,GE Capital,$2.55 ,91,Apartment
Seller,Global,Colonial Properties ...,$2.22 ,119,Apartment
Seller,Global,Invesco RE,$1.51 ,61,Apartment
Seller,Global,Prelios SpA,$1.36 ,150,Apartment
Seller,Global,LBO France,$1.30 ,2,Apartment
Seller,Global,AvalonBay Communities,$1.23 ,15,Apartment
Seller,Global,The Milestone Group,$1.21 ,54,Apartment
Seller,Global,AREA Property Partners,$1.11 ,91,Apartment
Seller,Global,Opal Properties Ltd,$1.00 ,33,Apartment
Seller,Global,Barclays Group,$0.91 ,11,Apartment
Seller,Global,ST Residential,$0.90 ,13,Apartment
Seller,Global,FDIC,$0.90 ,13,Apartment
Seller,Global,CBRE Global Investors,$0.84 ,16,Apartment
Seller,Global,Carlyle Group,$0.78 ,12,Apartment
