title,author,pub
"The white birch-tree, a novel.","Bubennov, Mikhail, 1909-1983.","Moscow, Foreign Languages Pub. House, 1954"
Keepers of the faith /,"Loring, Emilie Baker.","Boston : Little, Brown and Co., 1944"
The young lions /,"Shaw, Irwin, 1913-1984.","London : Cape, 1949"
"Chico goes to the wars; a chronicle ... 1933-1943,","Longstreet, Stephen, 1907-2002.","New York, A.S. Barnes & Co. 1943"
Top secret mission.,"Duke, Madelaine.","London, Evans Bros. 1954"
The island : a novel.,"Jones, Nard, 1904-1972.","New York : W. Sloane, 1948"
The white birch : a novel /,"Bubennov, Mikhail, 1909-1983.","Moscow : Foreign Languages Pub. House, 1949"
Companions of the left hand /,"Tabori, George, 1914-2007.; Cosgrave, John O'Hara,","Boston : Houghton Mifflin Co., 1946"
The dream and the desert.,"Krige, Uys, 1910-1987.","Boston, M. A. : Houghton Mifflin, 1954"
"The ministry of fear, an entertainment,","Greene, Graham, 1904-1991.","Garden City, N.Y., Sun Dial Press  1944, 1943"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979.","New York : Knopf,  1952, 1951"
"The Lord is a man of war,","Donath, Stanley F., 1909-","New York, A.A. Knopf, 1944"
Attack alarm.,"Innes, Hammond, 1913-1998.","New York, Macmillan, 1942"
Pigeon pie.,"Mitford, Nancy, 1904-1973.","London, Hamish Hamilton, 1952"
"Sons of the others, a novel.","Gibbs, Philip, 1877-1962.","New York, Doubleday, Doran and Co., 1941"
The Caine mutiny : a novel of World War II /,"Wouk, Herman, 1915-","Garden City, N.Y. : Doubleday, 1952"
The bridge on the River Kwai;,"Boulle, Pierre, 1912-1994.","London, Secker & Warburg, 1954"
"Most secret,","Shute, Nevil, 1899-1960.","London, Toronto, W. Heinemann Ltd. 1945"
Winged victory : the army air forces play /,"Hart, Moss, 1904-1961.","New York : Random House, 1943"
Somewhat angels,"De Jong, David Cornel, 1901-1967.","New York, Reynal & Hitchcock 1945"
"Desert episode,","Greenfield, George.","New York, Macmillan Co., 1945"
"The last inspection,","Lewis, Alun, 1915-1944.","New York, Macmillan Co.. 1943"
"Francis,","Stern, David, 1909-2003.; Price, Garrett,","New York, Farrar, Straus and Co., 1946"
"From the city, from the plough.","Baron, Alexander, 1917-1999.","London, J. Cape 1948"
"Dawn breaks, a novel from the V-front","Weiskopf, F. C. 1900-1955.; Norden, Heinz,; Norden, Ruth,","New York, Duell, Sloan and Pearce 1942"
"Assignment in Brittany, 1942 /","MacInnes, Helen, 1907-1985.","New York : Harcourt, Brace & World, 1942"
Arrival and departure /,"Koestler, Arthur, 1905-1983.","London : Jonathan Cape, 1943"
A story about a real man /,"Polevoi, Boris Nikolaevich.","Moscow : Foreign Languages Pub. House, 1950"
"Soviet women in the war against Hitlerism.  Publication:  Moscow, Foreign languages Pub. House, 1942   Document:  English :  Book   :  Fiction         Libraries Worldwide : 75     Columbia University Libraries   More Like This:  Advanced options ...   See more details for locating this item","Soviet women in the war against Hitlerism.  Publication:  Moscow, Foreign languages Pub. House, 1942   Document:  English :  Book   :  Fiction         Libraries Worldwide : 75     Columbia University Libraries   More Like This:  Advanced options ...   See more details for locating this item","Moscow, Foreign languages Pub. House, 1942"
Corner of heaven /,"Norris, Kathleen Thompson, 1880-1966.","New York : Doubleday, Doran and Co., 1943"
A woman is witness : a Paris diary /,"Lothar, Ernst, 1890-1974.; Mussey, June Barrows,","Garden City, N.Y. : Doubleday, Doran, 1941"
"Sophie Halenczik, American,","Feld, Rose C. 1895-1981.; Alajalov, Constantin,","Boston, Little, Brown, 1943"
Action stations!,Bartimeus.,"Boston, Little, Brown and Co., 1941"
"Shelter, a novel","Steen, Marguerite.","New York, Viking Press, 1941"
From here to eternity /,"Jones, James, 1921-1977.","London : Collins, 1952"
From here to eternity /,"Jones, James, 1921-1977.","London : Collins, 1952"
"The time between,","Wilhelm, Gale, 1908-","New York, W. Morrow & Co., 1942"
"The small back room,","Balchin, Nigel, 1908-1970.","Boston, Houghton Mifflin Co., 1945"
Boomerang,"Chambliss, W. C.","New York, Harcourt, Brace and company 1944"
Return to the vineyard /,"Loos, Mary.; Duranty, Walter,","Garden City, N.Y. : Doubleday, Doran and Co., 1945"
Home made banners.,"Allen, Ralph, 1913-1966.","Toronto, New York, Longmans, Green 1946"
Brave company.,"Wilson, Guthrie.","New York, Putnam 1950"
A story about a real man.,"Polevoi, Boris Nikolaevich.","Moscow, Foreign Languages Pub. House, 1952"
An act of love; a completely retold version of the novel.,"Wolfert, Ira, 1908-1997.","New York, Simon and Schuster, 1954"
The brave bantam /,"Bechtel, Louise Seaman, 1894-1985.; Sewell, Helen,","New York : Macmillan Co., 1946"
The good shepherd /,"Forester, C. S. 1899-1966.","Annapolis, Md. : Naval Institute Press, 1955"
The magnificent bastards.,"Crockett, Lucy Herndon, 1914-","New York, Farrar, Straus and Young 1954"
"The long alert, a novel.","Gibbs, Philip, 1877-1962.","Garden City, N.Y., Doubleday, Doran & Co., 1942"
The jungle seas.,"Ageton, Arthur A. 1900-1971.","New York, Random House 1954"
V for vengeance.,"Wheatley, Dennis, 1897-1977.","New York, Macmillan Co., 1942"
The day of the lion; a novel.,"Rimanelli, Giose, 1925-","New York, Random House 1954"
"Running to paradise,","Lodwick, John, 1916-","New York, Dodd, Mead & Co., 1943"
"The widow-makers,","Blankfort, Michael, 1907-1982.","New York, Simon and Schuster, 1946"
Destroyer from America /,"Fernald, John, 1905-","New York : Macmillan Co., 1942"
The good shepherd /,"Forester, C. S. 1899-1966.","London : M. Joseph, 1955"
The day of the lion; a novel.,"Rimanelli, Giose, 1925-","New York, Random House 1954"
Destroyer from America /,"Fernald, John, 1905-","New York : Macmillan Co., 1942"
The good shepherd /,"Forester, C. S. 1899-1966.","London : M. Joseph, 1955"
Home made banners.,"Allen, Ralph, 1913-1966.","Toronto, New York, Longmans, Green 1946"
The frontiers.,"Strachey, John, 1901-1963.","New York, Random House 1952"
A bell for Adano.,"Hersey, John, 1914-1993.","New York, Bantam Books 1946"
Flying wildcats /,"Margulies, Leo, 1900-1975, ed.","New York : Hampton, 1943"
"Spearhead, a novel","Brophy, John, 1899-1965.","New York, London, Harper & Bros. 1943"
Portrait in two colours.,"Jackman, Stuart Brooke, 1922-","New York, C. Scribner's Sons, 1949"
Mask of glory.,"Levin, Dan.","New York, Whittlesey House 1949"
Straw to make brick /,"Marcus, Alan, 1922-","Boston : Little, Brown, 1948"
Sword in sheath,"Norton, Andre.; Bjorklund, Lorence F.","New York, Harcourt, Brace 1949"
The sea shall not have them.,"Harris, John, 1916-1991.","London, Hurst & Blackett 1953"
Log book /,"Laskier, Frank.","New York : C. Scribner's Sons, 1943"
A flag in the city.,"Landon, Christopher.","New York, Macmillan, 1954"
Look down in mercy.,"Baxter, Walter, 1915-","London, Heinemann 1951"
Tell Sparta.,"Sedgwick, Shan, 1901-1996.","Boston, Houghton Mifflin company, 1945"
Night over Java,"Fabricius, Johan, 1899-1981.","New York, Greenberg 1946"
"Contact Mercury,","Nason, Leonard H. 1895-","Garden City, New York, Doubleday & Co., 1946"
"AWOL, K-9 commando,","Shurtleff, Bertrand, 1897-","Indianapolis, New York, Bobbs-Merrill Co. 1944"
"So little time,","Marquand, John P. 1893-1960.","Garden City, New York, Sun Dial Press  1946, 1943"
"Stout heart, and other stories,","Lavrenev, Boris, 1891-1959.","Moscow, Foreign Languages Pub. House, 1943"
The wine of Etna.,"Baron, Alexander, 1917-1999.","New York, Washburn 1950"
"The fatal days, a novel.","Drake-Brockman, Henrietta, 1901-1969.","Sydney, Angus and Robertson, 1947"
The tiger beneath the skin: stories and parables of the years of death.,"Kolitz, Zvi, 1913-","New York, Creative Age Press, 1947"
Sons of the morning /,"Schrag, Otto, 1902-","Garden City, N.Y. : Doubleday, Doran, 1945"
"Short leash,","Shurtleff, Bertrand, 1897-; Thorne, Diana,","Indianapolis, New York, Bobbs-Merrill 1945"
"Mr. Bunting in peace and war,","Greenwood, Robert, 1897-1981.","Indianapolis, New York, Bobbs-Merrill Co. 1941"
The ship /,"Forester, C. S. 1899-1966.","London : Michael Joseph, 1943"
The unconquered : Europe fights back /,"Carse, Robert, 1902-1971.","New York : R.M. McBride, 1942"
A woman is witness : a Paris diary /,"Lothar, Ernst, pseud.","Garden City, N.Y. : Book League of America, 1941"
Horizon,"MacInnes, Helen, 1907-1985.","New York, Harcourt Brace Jovanovich 1946"
This was tomorrow /,"Thane, Elswyth, 1900-","New York : Hawthorn Books, 1951"
"God's front porch,","Frings, Ketti.","New York, W. Morrow & company, 1944"
The end of the affair /,"Greene, Graham, 1904-1991.","New York : Viking Press,  1952, 1951"
No beautiful nights /,"Grossman, Vasilii Semenovich.; Donnelly, Elizabeth.; Lerman, Leo,","New York : J. Messner,  1944, 1943"
Night over Java,"Fabricius, Johan, 1899-1981.","New York, Greenberg 1946"
"Contact Mercury,","Nason, Leonard H. 1895-","Garden City, New York, Doubleday & Co., 1946"
Air Bridge.,"Innes, Hammond, 1913-1998.","London, Collins, 1951"
Red sky at midnight.,"Mirvish, Robert F., 1921-","New York, W. Sloane Associates 1955"
The unconquered : Europe fights back /,"Carse, Robert, 1902-1971.","New York : R.M. McBride, 1942"
Everybody slept here /,"Arnold, Elliott, 1912-1980.","New York : Duell, Sloan and Pearce, 1948"
"Gilbert Frankau's Air ministry, room 28.","Frankau, Gilbert, 1884-1952.","New York, E.P. Dutton, 1942"
"""E"" Company /","O'Rourke, Frank, 1916-1989.","[New York] : Simon and Schuster, 1945"
"Moscow, a novel;","Plivier, Theodor, 1892-1955.","London, F. Muller 1953"
"The gesture,","Cooper, John Cobb.","New York, Harper 1948"
The five arches.,"Blake, George, 1893-1961.","London, Collins, 1947"
"Radar commandos, a story of World War II;","Glemser, Bernard, 1908-","Philadelphia, Winston 1953"
The key to the great gate : a novel /,"Gottlieb, Hinko, 1886-1948.","New York : Simon and Schuster, 1947"
The naked and the dead.,"Mailer, Norman.","London, Alan Wingate 1949"
The dangerous places /,"Golding, Louis, 1895-1958.","London ; New York : Hutchinson, 1951"
Ma-rai-ee.,"Chin, Kee Onn.","London, Harrap, 1952"
Corporal cat : the story of a German parachute soldier /,"Flavin, Martin, 1883-1967.","New York ; London : Harper & Brothers Publishers, 1941"
The man who missed the war /,"Wheatley, Dennis, 1897-1977.","London : Hutchinson, 1945"
"Struggle is our brother,","Felsen, Henry Gregor, 1916-; Ishmael, Woodi,","New York, E.P. Dutton & Company, inc., 1943"
"Silver buckles on his knee, a novel","Wadelton, Thomas Dorrington, 1927-","New York, Coward-McCann 1945"
"... Stalk the hunter,","Wilson, Mitchell A.","New York, Simon and Schuster, 1943"
"Island 49,","Miller, Merle, 1919-1986.","New York, T.Y. Crowell 1945"
"Pathfinders,","Lewis, Cecil, 1898-1997.","New York, W. Morrow & Co., 1944"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979.; Pease, Ray.","New York : Pocket Books,  1953, 1951"
Homer's hill /,"Hayes, Marjorie.","Philadelphia : J.B. Lippincott Co., 1944"
"The reef, a novel.","Wheeler, Keith.","New York, Dutton, 1951"
The lesser infortune : a novel /,"Heppenstall, Rayner, 1911-1981.","London : Jonathan Cape, 1953"
The way to Santiago; a novel,"Calder-Marshall, Arthur, 1908-","New York, Reynal & Hitchcock 1940"
A time to laugh.,"Thompson, Laurence Victor, 1914-","New York, J. Messner 1954"
The wrath of the eagles : a novel of the Chetniks /,"Heydenau, Friedrich, 1886-1960.; Mussey, June Barrows,","New York : E.P. Dutton & Co., 1943"
Northbridge rectory : a novel /,"Thirkell, Angela, 1890-1961.","London : Hamilton, 1941"
Born 1925 : a novel of youth.,"Brittain, Vera, 1893-1970.","London : Macmillan, 1948"
Hurry up and wait /,"Wilder, Margaret Buell.","New York ; London : Whittlesey House, McGraw-Hill Book Company, Inc., 1946"
The sea chase.,"Geer, Andrew Clare.","New York, Harper 1948"
"Vicki, a guide dog","Johnson, Margaret S. 1893-1964.; Johnson, Helen Lossing,","New York, Harcourt, Brace and Co. 1946"
A time to love and a time to die /,"Remarque, Erich Maria, 1898-1970.","New York : Popular Library, 1954"
The power house.,"Comfort, Alex, 1920-2000.","London, G. Routledge 1945"
... End over end.,"Gidding, Nelson.","New York, Viking press, 1946"
Twelve o'clock high!,"Lay, Beirne, Jr., 1909-1982.; Bartlett, Sy,","New York, Harper 1948"
Cloudless May.,"Jameson, Storm, 1891-1986.","London, Macmillan & Co., 1943"
To the victors the spoils /,"MacInnes, Colin.","London : MacGibbon & Kee, 1950"
The invisible glass /,"Wahl, Loren.","New York : Greenberg, 1950"
Winged victory : the air force play /,"Hart, Moss, 1904-1961.","Cleveland : World Pub. Co., 1944"
Down /,"Grove, Walt.","New York : F. Watts, 1953"
Willow run : a novel /,"Swarthout, Glendon Fred.","New York : Thomas Y. Crowell Co., 1943"
"Put out the light; a translation by Cyril Connolly of ""Le silence de la mer""","Vercors, 1902-1991.; Connolly, Cyril,","London, Macmillan, 1944"
Take these men /,"Joly, Cyril.","London : Constable, 1955"
"Rex of the Coast patrol,","Johnson, Margaret S. 1893-1964.; Johnson, Helen Lossing,","New York, Harcourt, Brace and Co. 1944"
Battle surgeon /,"Slaughter, Frank G. 1908-2001.","Garden City, N. Y. : Doubleday, Doran, 1944"
The jade venus,"Coxe, George Harmon, 1901-1984.","New York, Knopf, 1945"
Tales of the South Pacific /,"Michener, James A. 1907-1997.","New York : Macmillan Co., 1950"
Weekend at Dunkirk.,"Merle, Robert, 1908-2004.","New York, Knopf, 1951"
The battle done.,"Rubinstein, S. Leonard.","New York, Morrow, 1954"
The bridge over the river Kwai /,"Boulle, Pierre, 1912-1994.","New York : Vanguard Press, 1954"
"The Best from Yank, the army weekly /  Publication:  Cleveland : World Pub. Co., 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 50   More Like This:  Advanced options ...   See more details for locating this item","The Best from Yank, the army weekly /  Publication:  Cleveland : World Pub. Co., 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 50   More Like This:  Advanced options ...   See more details for locating this item","Cleveland : World Pub. Co., 1945"
"High stakes, a story of strange people and happenings,","Riess, Curt, 1902-1993.","New York, Putnam 1942"
Catch-22 /,"Heller, Joseph.","New York : Dell, 1955"
Flames of vengeance,"Pavlenko, Petr Andreevich, 1899-1951.","Moscow, Foreign languages Pub. House, 1942"
Kaputt /,"Malaparte, Curzio, 1898-1957.","London : Redman, 1948"
The end of the affair /,"Greene, Graham, 1904-1991.","London ; Melbourne ; Toronto : William Heinemann Ltd., 1955"
Murder in the O.P.M. /,"Ford, Leslie, 1898-1983.","New York : Scribner, 1942"
The usurpers. Translated from the Polish by Celina Wieniewska.,"Milosz, Czeslaw.","London, Faber and Faber 1955"
The girl without a country /,"Poston, Martha Lee.; Ayer, Margaret,","New York ; Edinburgh : Nelson, 1944"
Chains of command.,"Goethals, Thomas.","New York, Random House 1955"
The heat of the day /,"Bowen, Elizabeth, 1899-1973.","London : J. Cape, 1949"
"High endeavour,","Seago, Edward, 1910-1974.","London, Collins, 1944"
Island victory.,"Bartlett, Norman.","Sydney, Angus and Robertson 1955"
Thunder mountain,"Pratt, Theodore, 1901-1969.","New York, Duell, Sloan and Pearce 1944"
Storm below.,"Garner, Hugh, 1913-1979.","Toronto, Collins 1949"
Augustus drives a jeep /,"Le Grand, 1901-1964.","Indianapolis ; New York : The Bobbs-Merrill Co., 1944"
"The long pursuit,","Freeman, Joseph, 1897-1965.","New York, Toronto, Rinehart & Co. 1947"
The winds are still.,"Hetherington, John, 1907-1974.","Melbourne, Georgian House 1947"
Deep danger.,"White, Robb, 1909-1990.","Garden City, N.Y., Doubleday, 1952"
Men without country : photoplay title: Passage to Marseilles /,"Nordhoff, Charles, 1887-1947.; Hall, James Norman,","New York : Grosset & Dunlap, 1942"
Stronger than death; short stories of the war.,"Donnelly, Elizabeth,","Moscow, Foreign languages Pub. House, 1942"
The goodly seed /,"Wyllie, John, 1914-","London : Secker & Warburg, 1953"
"Escape from Knigstein /  Publication:  New York : Charles Scribner's Sons, 1944   Document:  English :  Book   :  Fiction         Libraries Worldwide : 46   More Like This:  Advanced options ...   See more details for locating this item","Escape from Knigstein /  Publication:  New York : Charles Scribner's Sons, 1944   Document:  English :  Book   :  Fiction         Libraries Worldwide : 46   More Like This:  Advanced options ...   See more details for locating this item","New York : Charles Scribner's Sons, 1944"
Submarine sailor : with a 32 page supplement of submarine photographs /,"Felsen, Henry Gregor, 1916-","New York : E.P. Dutton & Co., 1943"
Soviet war stories /,"Sholokhov, Mikhail Aleksandrovich,; Gorbatov, Boris Leontevich,, and others","London, New York; Hutchinson 1944"
The ship and the flame /,"Mangione, Jerre, 1909-1998.","New York : Current Books, Inc., 1948"
Tales of the South Pacific /,"Michener, James A. 1907-1997.","New York : Macmillan Co., 1950"
A time to go home.,"Fridley, William C.","New York, Dutton, 1951"
The Piney Ridge trilogy /,"Giles, Janice Holt.","Lexington, Ky : University Press of Kentucky, 1950"
'HMS Marlborough will enter harbour' /,"Monsarrat, Nicholas, 1910-1979.","London : Cassell, 1952"
